Absolute Time,x_in,y_in,x_hat,y_hat
3573172447.130084,9.883923,2.038147,9.901053,2.029264
3573172447.140082,9.882675,2.038647,9.899860,2.029763
3573172447.150083,9.881427,2.039147,9.898666,2.030262
3573172447.160083,9.880178,2.039647,9.897472,2.030762
3573172447.170082,9.878929,2.040148,9.896278,2.031261
3573172447.180082,9.877679,2.040648,9.895083,2.031761
3573172447.190078,9.876430,2.041148,9.893887,2.032260
3573172447.200083,9.875179,2.041649,9.892691,2.032760
3573172447.210083,9.873929,2.042149,9.891495,2.033259
3573172447.220083,9.872678,2.042650,9.890298,2.033759
3573172447.230083,9.871426,2.043150,9.889100,2.034259
3573172447.240083,9.870174,2.043651,9.887902,2.034759
3573172447.250082,9.868922,2.044152,9.886704,2.035259
3573172447.260084,9.867669,2.044653,9.885505,2.035759
3573172447.270085,9.866416,2.045153,9.884305,2.036260
3573172447.280083,9.865163,2.045654,9.883105,2.036760
3573172447.290078,9.863909,2.046155,9.881905,2.037260
3573172447.300082,9.862655,2.046656,9.880704,2.037761
3573172447.310083,9.861400,2.047157,9.879502,2.038262
3573172447.320084,9.860145,2.047659,9.878300,2.038762
3573172447.330084,9.858890,2.048160,9.877098,2.039263
3573172447.340085,9.857634,2.048661,9.875895,2.039764
3573172447.350084,9.856378,2.049162,9.874691,2.040265
3573172447.360083,9.855121,2.049664,9.873487,2.040766
3573172447.370082,9.853864,2.050165,9.872283,2.041267
3573172447.380083,9.852607,2.050667,9.871078,2.041768
3573172447.390078,9.851349,2.051168,9.869872,2.042269
3573172447.400084,9.850091,2.051670,9.868666,2.042771
3573172447.410087,9.848833,2.052171,9.867460,2.043272
3573172447.420085,9.847574,2.052673,9.866253,2.043774
3573172447.430087,9.846315,2.053175,9.865046,2.044275
3573172447.440085,9.845055,2.053677,9.863838,2.044777
3573172447.450088,9.843796,2.054179,9.862630,2.045279
3573172447.460087,9.842535,2.054681,9.861421,2.045780
3573172447.470086,9.841275,2.055183,9.860212,2.046282
3573172447.480084,9.840014,2.055685,9.859002,2.046784
3573172447.490080,9.838752,2.056187,9.857792,2.047286
3573172447.500087,9.837491,2.056689,9.856581,2.047788
3573172447.510087,9.836228,2.057191,9.855370,2.048291
3573172447.520087,9.834966,2.057693,9.854159,2.048793
3573172447.530087,9.833703,2.058196,9.852947,2.049295
3573172447.540088,9.832440,2.058698,9.851734,2.049798
3573172447.550088,9.831176,2.059200,9.850521,2.050300
3573172447.560090,9.829913,2.059703,9.849308,2.050803
3573172447.570086,9.828648,2.060205,9.848094,2.051306
3573172447.580089,9.827384,2.060708,9.846880,2.051808
3573172447.590085,9.826119,2.061211,9.845665,2.052311
3573172447.600090,9.824854,2.061713,9.844450,2.052814
3573172447.610090,9.823588,2.062216,9.843234,2.053317
3573172447.620091,9.822322,2.062719,9.842018,2.053820
3573172447.630091,9.821056,2.063222,9.840801,2.054323
3573172447.640090,9.819789,2.063724,9.839584,2.054826
3573172447.650091,9.818522,2.064227,9.838367,2.055330
3573172447.660091,9.817255,2.064730,9.837149,2.055833
3573172447.670091,9.815987,2.065233,9.835930,2.056337
3573172447.680091,9.814719,2.065736,9.834711,2.056840
3573172447.690088,9.813451,2.066239,9.833492,2.057344
3573172447.700092,9.812182,2.066743,9.832272,2.057847
3573172447.710093,9.810913,2.067246,9.831052,2.058351
3573172447.720093,9.809643,2.067749,9.829831,2.058855
3573172447.730093,9.808374,2.068252,9.828610,2.059359
3573172447.740094,9.807104,2.068756,9.827389,2.059862
3573172447.750094,9.805833,2.069259,9.826167,2.060366
3573172447.760097,9.804563,2.069763,9.824945,2.060871
3573172447.770095,9.803292,2.070266,9.823722,2.061375
3573172447.780095,9.802020,2.070770,9.822499,2.061879
3573172447.790091,9.800749,2.071273,9.821275,2.062383
3573172447.800097,9.799477,2.071777,9.820051,2.062888
3573172447.810096,9.798204,2.072280,9.818826,2.063392
3573172447.820096,9.796932,2.072784,9.817601,2.063896
3573172447.830098,9.795659,2.073288,9.816376,2.064401
3573172447.840098,9.794386,2.073792,9.815150,2.064906
3573172447.850098,9.793112,2.074296,9.813924,2.065410
3573172447.860099,9.791838,2.074799,9.812697,2.065915
3573172447.870099,9.790564,2.075303,9.811470,2.066420
3573172447.880100,9.789289,2.075807,9.810243,2.066925
3573172447.890095,9.788014,2.076311,9.809015,2.067430
3573172447.900100,9.786739,2.076815,9.807786,2.067935
3573172447.910100,9.785464,2.077320,9.806558,2.068440
3573172447.920101,9.784188,2.077824,9.805328,2.068945
3573172447.930101,9.782912,2.078328,9.804099,2.069450
3573172447.940102,9.781636,2.078832,9.802869,2.069955
3573172447.950101,9.780359,2.079336,9.801638,2.070461
3573172447.960104,9.779082,2.079841,9.800408,2.070966
3573172447.970102,9.777805,2.080345,9.799176,2.071472
3573172447.980102,9.776527,2.080850,9.797945,2.071977
3573172447.990099,9.775249,2.081354,9.796713,2.072483
3573172448.000103,9.773971,2.081858,9.795480,2.072988
3573172448.010104,9.772693,2.082363,9.794247,2.073494
3573172448.020104,9.771414,2.082868,9.793014,2.074000
3573172448.030104,9.770135,2.083372,9.791780,2.074506
3573172448.040103,9.768856,2.083877,9.790546,2.075012
