Absolute Time,u_hat,u_true,y_hat,y_m,y-error
3571895537.861232,0.002277,-0.000347,-19.691901,-19.410864,0.281038
3571895537.871233,0.002501,-0.000347,-19.689052,-19.410864,0.278188
3571895537.881233,0.002723,-0.000347,-19.686229,-19.410864,0.275366
3571895537.891233,0.002942,-0.000347,-19.683433,-19.410864,0.272570
3571895537.901233,0.003160,-0.000347,-19.680664,-19.410864,0.269800
3571895537.911233,0.003375,-0.000346,-19.677920,-19.410864,0.267056
3571895537.921234,0.003587,-0.000346,-19.675202,-19.410864,0.264339
3571895537.931235,0.003798,-0.000346,-19.672511,-20.275812,-0.603301
3571895537.941236,0.004006,-0.000346,-19.669844,-20.275812,-0.605967
3571895537.951236,0.003754,-0.000346,-19.675846,-20.275812,-0.599965
3571895537.961236,0.003501,-0.000346,-19.681873,-20.275812,-0.593939
3571895537.971236,0.003249,-0.000346,-19.687843,-20.275812,-0.587968
3571895537.981237,0.003001,-0.000345,-19.693756,-20.275812,-0.582055
