Absolute Time,u_hat,u_true,x_hat,x_m,x-error
3571895400.097579,-0.007231,-0.001584,-13.691432,-13.668574,0.022858
3571895400.107580,-0.007508,-0.001584,-13.691159,-13.668574,0.022585
3571895400.117581,-0.007782,-0.001583,-13.690887,-13.668574,0.022313
3571895400.127581,-0.008053,-0.001582,-13.690616,-14.038424,-0.347808
3571895400.137581,-0.008321,-0.001582,-13.690346,-14.038424,-0.348078
3571895400.147581,-0.008356,-0.001581,-13.693823,-14.038424,-0.344601
3571895400.157582,-0.008387,-0.001581,-13.697302,-14.038424,-0.341122
3571895400.167582,-0.008418,-0.001580,-13.700747,-14.038424,-0.337677
3571895400.177583,-0.008449,-0.001579,-13.704157,-14.038424,-0.334266
3571895400.187582,-0.008479,-0.001579,-13.707534,-14.038424,-0.330890
3571895400.197584,-0.008509,-0.001578,-13.710876,-14.038424,-0.327547
3571895400.207582,-0.008538,-0.001577,-13.714186,-14.038424,-0.324238
3571895400.217585,-0.008567,-0.001577,-13.717462,-14.038424,-0.320962
3571895400.227583,-0.008595,-0.001576,-13.720705,-14.099984,-0.379279
3571895400.237584,-0.008624,-0.001576,-13.723917,-14.099984,-0.376068
3571895400.247585,-0.008372,-0.001575,-13.727681,-14.099984,-0.372303
3571895400.257584,-0.008121,-0.001574,-13.731414,-14.099984,-0.368571
3571895400.267585,-0.007873,-0.001574,-13.735109,-14.099984,-0.364875
3571895400.277585,-0.007627,-0.001573,-13.738768,-14.099984,-0.361216
3571895400.287586,-0.007383,-0.001573,-13.742391,-14.099984,-0.357594
3571895400.297585,-0.007142,-0.001572,-13.745978,-14.099984,-0.354007
3571895400.307586,-0.006904,-0.001571,-13.749529,-14.099984,-0.350456
3571895400.317587,-0.006668,-0.001571,-13.753044,-14.099984,-0.346940
3571895400.327586,-0.006434,-0.001570,-13.756525,-13.713307,0.043218
3571895400.337585,-0.006203,-0.001570,-13.759971,-13.713307,0.046664
3571895400.347587,-0.006255,-0.001569,-13.759561,-13.713307,0.046254
3571895400.357587,-0.006308,-0.001568,-13.759115,-13.713307,0.045808
3571895400.367587,-0.006361,-0.001568,-13.758672,-13.713307,0.045365
3571895400.377588,-0.006412,-0.001567,-13.758233,-13.713307,0.044926
